part_id,module,characteristic_id,nominal_or_basis,acceptance_requirement,inspection_method,result,authority,warning
L01_SHIN_TIE_Z135,L01,DATUM_SCHEME,A largest planar face; B longest profile edge/centerline; C orthogonal profile edge/centerline,datum simulators and precedence SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_TIE_Z135,L01,OVERALL_X,42.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_TIE_Z135,L01,OVERALL_Y,40.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_TIE_Z135,L01,OVERALL_Z,4.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_TIE_Z135,L01,PROFILE_OR_SURFACE,nominal native STEP geometry,"profile tolerance, inspection method and sampling SELECTION REQUIRED",SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_TIE_Z183,L01,DATUM_SCHEME,A largest planar face; B longest profile edge/centerline; C orthogonal profile edge/centerline,datum simulators and precedence SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_TIE_Z183,L01,OVERALL_X,42.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_TIE_Z183,L01,OVERALL_Y,40.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_TIE_Z183,L01,OVERALL_Z,4.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_TIE_Z183,L01,PROFILE_OR_SURFACE,nominal native STEP geometry,"profile tolerance, inspection method and sampling SELECTION REQUIRED",SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_TIE_Z235,L01,DATUM_SCHEME,A largest planar face; B longest profile edge/centerline; C orthogonal profile edge/centerline,datum simulators and precedence SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_TIE_Z235,L01,OVERALL_X,46.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_TIE_Z235,L01,OVERALL_Y,40.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_TIE_Z235,L01,OVERALL_Z,4.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_TIE_Z235,L01,PROFILE_OR_SURFACE,nominal native STEP geometry,"profile tolerance, inspection method and sampling SELECTION REQUIRED",SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_TIE_Z300,L01,DATUM_SCHEME,A largest planar face; B longest profile edge/centerline; C orthogonal profile edge/centerline,datum simulators and precedence SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_TIE_Z300,L01,OVERALL_X,46.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_TIE_Z300,L01,OVERALL_Y,40.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_TIE_Z300,L01,OVERALL_Z,4.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_TIE_Z300,L01,PROFILE_OR_SURFACE,nominal native STEP geometry,"profile tolerance, inspection method and sampling SELECTION REQUIRED",SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_TIE_Z355,L01,DATUM_SCHEME,A largest planar face; B longest profile edge/centerline; C orthogonal profile edge/centerline,datum simulators and precedence SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_TIE_Z355,L01,OVERALL_X,46.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_TIE_Z355,L01,OVERALL_Y,40.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_TIE_Z355,L01,OVERALL_Z,4.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_THIGH_TIE_Z355,L01,PROFILE_OR_SURFACE,nominal native STEP geometry,"profile tolerance, inspection method and sampling SELECTION REQUIRED",SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F01_SOLE_CARRIER,F01,DATUM_SCHEME,A largest planar face; B longest profile edge/centerline; C orthogonal profile edge/centerline,datum simulators and precedence SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F01_SOLE_CARRIER,F01,OVERALL_X,86.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F01_SOLE_CARRIER,F01,OVERALL_Y,138.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F01_SOLE_CARRIER,F01,OVERALL_Z,5.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F01_SOLE_CARRIER,F01,PROFILE_OR_SURFACE,nominal native STEP geometry,"profile tolerance, inspection method and sampling SELECTION REQUIRED",SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F01_TOP_BRIDGE,F01,DATUM_SCHEME,A largest planar face; B longest profile edge/centerline; C orthogonal profile edge/centerline,datum simulators and precedence SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F01_TOP_BRIDGE,F01,OVERALL_X,68.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F01_TOP_BRIDGE,F01,OVERALL_Y,86.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F01_TOP_BRIDGE,F01,OVERALL_Z,4.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
F01_TOP_BRIDGE,F01,PROFILE_OR_SURFACE,nominal native STEP geometry,"profile tolerance, inspection method and sampling SELECTION REQUIRED",SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_UPPER_ARM_LINK_FRONT,A01,DATUM_SCHEME,A largest planar face; B longest profile edge/centerline; C orthogonal profile edge/centerline,datum simulators and precedence SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_UPPER_ARM_LINK_FRONT,A01,OVERALL_X,33.922 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_UPPER_ARM_LINK_FRONT,A01,OVERALL_Y,28.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_UPPER_ARM_LINK_FRONT,A01,OVERALL_Z,150.784 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_UPPER_ARM_LINK_FRONT,A01,PROFILE_OR_SURFACE,nominal native STEP geometry,"profile tolerance, inspection method and sampling SELECTION REQUIRED",SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_FOREARM_LINK_FRONT,A01,DATUM_SCHEME,A largest planar face; B longest profile edge/centerline; C orthogonal profile edge/centerline,datum simulators and precedence SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_FOREARM_LINK_FRONT,A01,OVERALL_X,8.998 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_FOREARM_LINK_FRONT,A01,OVERALL_Y,26.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_FOREARM_LINK_FRONT,A01,OVERALL_Z,145.138 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_FOREARM_LINK_FRONT,A01,PROFILE_OR_SURFACE,nominal native STEP geometry,"profile tolerance, inspection method and sampling SELECTION REQUIRED",SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_UPPER_ARM_LINK_REAR,A01,DATUM_SCHEME,A largest planar face; B longest profile edge/centerline; C orthogonal profile edge/centerline,datum simulators and precedence SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_UPPER_ARM_LINK_REAR,A01,OVERALL_X,33.922 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_UPPER_ARM_LINK_REAR,A01,OVERALL_Y,28.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_UPPER_ARM_LINK_REAR,A01,OVERALL_Z,150.784 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_UPPER_ARM_LINK_REAR,A01,PROFILE_OR_SURFACE,nominal native STEP geometry,"profile tolerance, inspection method and sampling SELECTION REQUIRED",SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_FOREARM_LINK_REAR,A01,DATUM_SCHEME,A largest planar face; B longest profile edge/centerline; C orthogonal profile edge/centerline,datum simulators and precedence SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_FOREARM_LINK_REAR,A01,OVERALL_X,8.998 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_FOREARM_LINK_REAR,A01,OVERALL_Y,26.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_FOREARM_LINK_REAR,A01,OVERALL_Z,145.138 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
A01_FOREARM_LINK_REAR,A01,PROFILE_OR_SURFACE,nominal native STEP geometry,"profile tolerance, inspection method and sampling SELECTION REQUIRED",SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_FRONT_COVER,L01,DATUM_SCHEME,A mounting/seam surface; B longest edge/centerplane; C orthogonal edge/centerplane,datum simulators and precedence SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_FRONT_COVER,L01,OVERALL_X,60.003 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_FRONT_COVER,L01,OVERALL_Y,1.503 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_FRONT_COVER,L01,OVERALL_Z,132.003 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_FRONT_COVER,L01,PROFILE_OR_SURFACE,nominal native STEP geometry,"profile tolerance, inspection method and sampling SELECTION REQUIRED",SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_REAR_COVER,L01,DATUM_SCHEME,A mounting/seam surface; B longest edge/centerplane; C orthogonal edge/centerplane,datum simulators and precedence SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_REAR_COVER,L01,OVERALL_X,60.003 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_REAR_COVER,L01,OVERALL_Y,1.503 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_REAR_COVER,L01,OVERALL_Z,132.003 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
L01_SHIN_REAR_COVER,L01,PROFILE_OR_SURFACE,nominal native STEP geometry,"profile tolerance, inspection method and sampling SELECTION REQUIRED",SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
